2026-04-22 13:58:43 ip=127.0.0.1 method=GET url=/
2026-04-22 13:58:43 ip=127.0.0.1 method=GET url=/
2026-04-22 14:01:56 ip=127.0.0.1 method=GET url=/static/
2026-04-22 14:01:56 ip=127.0.0.1 method=GET url=/static/
2026-04-22 14:03:55 ip=127.0.0.1 method=GET url=/static/
2026-04-22 14:03:55 ip=127.0.0.1 method=GET url=/static/
2026-04-22 14:03:55 ip=127.0.0.1 method=GET url=/static/index.html
2026-04-22 14:04:32 ip=127.0.0.1 method=GET url=/static/assets/
{"ip":"127.0.0.1:48872","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 11:58:40","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:48886","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:58:40","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:48900","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:58:40","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:48908","latency_ms":1,"method":"GET","status":429,"ts":"2026-05-07 11:58:40","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:48918","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:58:40","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:48922","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:58:40","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:56202","latency_ms":1,"method":"GET","status":404,"ts":"2026-05-07 11:58:40","upstream":"127.0.0.1:18084","url":"/hello.txt"}
{"ip":"127.0.0.1:56212","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 11:58:40","upstream":"127.0.0.1:18084","url":"/hello.txt"}
{"ip":"127.0.0.1:51294","latency_ms":33,"method":"GET","status":502,"ts":"2026-05-07 11:58:41","upstream":"127.0.0.1:9001","url":"slow"}
{"ip":"127.0.0.1:51708","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 12:39:52","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:51718","latency_ms":1,"method":"GET","status":429,"ts":"2026-05-07 12:39:52","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:51730","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 12:39:52","upstream":"127.0.0.1:18083","url":"/hello.txt"}
